Track,Artist,URI,Audio Features,cluster
Lamelo Ball,Ysr Gramz,7nuslnp0ZEpbJigcqq8M6v,"[{'danceability': 0.625, 'energy': 0.606, 'key': 5, 'loudness': -10.915, 'mode': 0, 'speechiness': 0.164, 'acousticness': 0.0749, 'instrumentalness': 0, 'liveness': 0.315, 'valence': 0.507, 'tempo': 129.765, 'type': 'audio_features', 'id': '7nuslnp0ZEpbJigcqq8M6v', 'uri': 'spotify:track:7nuslnp0ZEpbJigcqq8M6v', 'track_href': 'https://api.spotify.com/v1/tracks/7nuslnp0ZEpbJigcqq8M6v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7nuslnp0ZEpbJigcqq8M6v', 'duration_ms': 138371, 'time_signature': 5}]",7
"Gravity (feat. Tyler, The Creator)",Brent Faiyaz,6u3CPnFMKANYgfdiifFOiJ,"[{'danceability': 0.539, 'energy': 0.615, 'key': 1, 'loudness': -8.746, 'mode': 0, 'speechiness': 0.252, 'acousticness': 0.173, 'instrumentalness': 0.0056, 'liveness': 0.144, 'valence': 0.493, 'tempo': 163.924, 'type': 'audio_features', 'id': '6u3CPnFMKANYgfdiifFOiJ', 'uri': 'spotify:track:6u3CPnFMKANYgfdiifFOiJ', 'track_href': 'https://api.spotify.com/v1/tracks/6u3CPnFMKANYgfdiifFOiJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6u3CPnFMKANYgfdiifFOiJ', 'duration_ms': 214693, 'time_signature': 4}]",1
Last Minute,Lil Durk,15mLbIWowLwcnEkbZxe8nR,"[{'danceability': 0.459, 'energy': 0.838, 'key': 2, 'loudness': -5.511, 'mode': 0, 'speechiness': 0.366, 'acousticness': 0.196, 'instrumentalness': 0, 'liveness': 0.0951, 'valence': 0.62, 'tempo': 172.766, 'type': 'audio_features', 'id': '15mLbIWowLwcnEkbZxe8nR', 'uri': 'spotify:track:15mLbIWowLwcnEkbZxe8nR', 'track_href': 'https://api.spotify.com/v1/tracks/15mLbIWowLwcnEkbZxe8nR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/15mLbIWowLwcnEkbZxe8nR', 'duration_ms': 110983, 'time_signature': 3}]",7
Finesse Out The Gang Way (feat. Lil Baby),Lil Durk,15bnyEOUVRkwWlxR4F7xzF,"[{'danceability': 0.738, 'energy': 0.885, 'key': 1, 'loudness': -4.159, 'mode': 0, 'speechiness': 0.126, 'acousticness': 0.213, 'instrumentalness': 0, 'liveness': 0.098, 'valence': 0.49, 'tempo': 100.508, 'type': 'audio_features', 'id': '15bnyEOUVRkwWlxR4F7xzF', 'uri': 'spotify:track:15bnyEOUVRkwWlxR4F7xzF', 'track_href': 'https://api.spotify.com/v1/tracks/15bnyEOUVRkwWlxR4F7xzF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/15bnyEOUVRkwWlxR4F7xzF', 'duration_ms': 186283, 'time_signature': 3}]",7
High (feat. Danny Brown),Freddie Gibbs,2bSF5Qs8IQE9RRaZIef7mO,"[{'danceability': 0.566, 'energy': 0.805, 'key': 1, 'loudness': -8.32, 'mode': 1, 'speechiness': 0.321, 'acousticness': 0.186, 'instrumentalness': 0, 'liveness': 0.428, 'valence': 0.616, 'tempo': 118.965, 'type': 'audio_features', 'id': '2bSF5Qs8IQE9RRaZIef7mO', 'uri': 'spotify:track:2bSF5Qs8IQE9RRaZIef7mO', 'track_href': 'https://api.spotify.com/v1/tracks/2bSF5Qs8IQE9RRaZIef7mO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2bSF5Qs8IQE9RRaZIef7mO', 'duration_ms': 177640, 'time_signature': 4}]",2
DR. BIRD'S,Griselda,324QGLPFKS0TuWfW90vjZY,"[{'danceability': 0.686, 'energy': 0.71, 'key': 1, 'loudness': -7.191, 'mode': 1, 'speechiness': 0.355, 'acousticness': 0.225, 'instrumentalness': 0.00239, 'liveness': 0.105, 'valence': 0.356, 'tempo': 76.89, 'type': 'audio_features', 'id': '324QGLPFKS0TuWfW90vjZY', 'uri': 'spotify:track:324QGLPFKS0TuWfW90vjZY', 'track_href': 'https://api.spotify.com/v1/tracks/324QGLPFKS0TuWfW90vjZY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/324QGLPFKS0TuWfW90vjZY', 'duration_ms': 223768, 'time_signature': 4}]",6
ꞌCosmicꞌ.m4a,Denzel Curry,6Bxy3KpK4ygO2X9QAiOQ3W,"[{'danceability': 0.685, 'energy': 0.789, 'key': 7, 'loudness': -6.04, 'mode': 1, 'speechiness': 0.415, 'acousticness': 0.377, 'instrumentalness': 0, 'liveness': 0.688, 'valence': 0.527, 'tempo': 96.301, 'type': 'audio_features', 'id': '6Bxy3KpK4ygO2X9QAiOQ3W', 'uri': 'spotify:track:6Bxy3KpK4ygO2X9QAiOQ3W', 'track_href': 'https://api.spotify.com/v1/tracks/6Bxy3KpK4ygO2X9QAiOQ3W', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Bxy3KpK4ygO2X9QAiOQ3W', 'duration_ms': 166653, 'time_signature': 4}]",4
Detroit’s Son,Guilty Simpson,6pRS1sfW4qzLzIFmaNfOE5,"[{'danceability': 0.297, 'energy': 0.749, 'key': 1, 'loudness': -5.832, 'mode': 1, 'speechiness': 0.238, 'acousticness': 0.515, 'instrumentalness': 0, 'liveness': 0.371, 'valence': 0.645, 'tempo': 172.063, 'type': 'audio_features', 'id': '6pRS1sfW4qzLzIFmaNfOE5', 'uri': 'spotify:track:6pRS1sfW4qzLzIFmaNfOE5', 'track_href': 'https://api.spotify.com/v1/tracks/6pRS1sfW4qzLzIFmaNfOE5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6pRS1sfW4qzLzIFmaNfOE5', 'duration_ms': 201595, 'time_signature': 4}]",0
Pressin (feat. King Von),Sada Baby,2jdZN4eGmNN4t69RZYH0vU,"[{'danceability': 0.846, 'energy': 0.565, 'key': 7, 'loudness': -9.561, 'mode': 1, 'speechiness': 0.291, 'acousticness': 0.0308, 'instrumentalness': 0, 'liveness': 0.328, 'valence': 0.674, 'tempo': 90.984, 'type': 'audio_features', 'id': '2jdZN4eGmNN4t69RZYH0vU', 'uri': 'spotify:track:2jdZN4eGmNN4t69RZYH0vU', 'track_href': 'https://api.spotify.com/v1/tracks/2jdZN4eGmNN4t69RZYH0vU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2jdZN4eGmNN4t69RZYH0vU', 'duration_ms': 170110, 'time_signature': 4}]",4
Bloxk Party (feat. Drego),Sada Baby,2y6T22z0VqKK1R8UwI0MvJ,"[{'danceability': 0.655, 'energy': 0.555, 'key': 10, 'loudness': -7.823, 'mode': 0, 'speechiness': 0.111, 'acousticness': 0.0491, 'instrumentalness': 0, 'liveness': 0.116, 'valence': 0.18, 'tempo': 172.047, 'type': 'audio_features', 'id': '2y6T22z0VqKK1R8UwI0MvJ', 'uri': 'spotify:track:2y6T22z0VqKK1R8UwI0MvJ', 'track_href': 'https://api.spotify.com/v1/tracks/2y6T22z0VqKK1R8UwI0MvJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2y6T22z0VqKK1R8UwI0MvJ', 'duration_ms': 207830, 'time_signature': 4}]",3
